domain,label,pattern,interpretation,source_url
biomarker,HER2,"her2|her-2|erbb2|human epidermal growth factor receptor 2",HER2 expression or amplification guides HER2-directed treatment,https://www.cancer.gov/types/breast/diagnosis/breast-cancer-biomarker-tests
biomarker,Hormone receptor,"hormone receptor|hr-positive|hr positive|estrogen receptor|progesterone receptor|er-positive|pr-positive",ER and PR status inform endocrine treatment,https://www.cancer.gov/types/breast/diagnosis/breast-cancer-biomarker-tests
biomarker,BRCA or HRD,"brca1|brca2|brca|palb2|homologous recombination|hrd",BRCA or homologous-recombination alterations can inform PARP-directed strategies,https://www.ema.europa.eu/en/medicines/human/EPAR/lynparza
biomarker,PIK3CA-AKT1-PTEN,"pik3ca|akt1|pten|pi3k",PI3K-AKT pathway alterations can guide pathway-targeted treatment,https://www.cancer.gov/types/breast/hp/breast-treatment-pdq
biomarker,ESR1,"esr1",ESR1 mutation can identify endocrine-resistant disease and inform oral SERD strategies,https://www.cancer.gov/types/breast/hp/breast-treatment-pdq
biomarker,PD-L1 or immune,"pd-l1|pdl1|programmed death|tumou?r mutational burden|tmb|microsatellite instability|mismatch repair",Immune biomarkers may guide checkpoint-inhibitor strategies,https://www.cancer.gov/types/breast/hp/breast-treatment-pdq
biomarker,ctDNA or MRD,"circulating tumou?r dna|ctdna|minimal residual disease|molecular residual disease|mrd",Liquid-biopsy or residual-disease markers can support response or escalation studies,https://www.cancer.gov/types/breast/diagnosis/breast-cancer-biomarker-tests
biomarker,Genomic profiling,"next-generation sequencing|next generation sequencing|ngs|genomic profil|molecular profil|gene expression|multigene",Broad molecular testing can match alterations to targeted treatment or trials,https://health.ec.europa.eu/non-communicable-diseases/cancer/europes-beating-cancer-plan-eu4health-financed-projects/projects/canheal_en
therapy,HER2-directed,"trastuzumab|pertuzumab|tucatinib|neratinib|lapatinib|margetuximab|zanidatamab|her2-directed|her2 targeted",HER2-targeted antibody or kinase-inhibitor treatment,https://www.cancer.gov/types/breast/hp/breast-treatment-pdq
therapy,Antibody-drug conjugate,"deruxtecan|emtansine|sacituzumab|datopotamab|antibody.drug conjugate|antibody-drug conjugate|\badc\b",Antibody-linked cytotoxic treatment,https://www.cancer.gov/types/breast/hp/breast-treatment-pdq
therapy,Endocrine or SERD,"tamoxifen|fulvestrant|elacestrant|camizestrant|imlunestrant|giredestrant|letrozole|anastrozole|exemestane|aromatase inhibitor|selective estrogen receptor degrader|serd",Hormone-receptor-directed treatment,https://www.cancer.gov/types/breast/hp/breast-treatment-pdq
therapy,CDK4-6 inhibitor,"palbociclib|ribociclib|abemaciclib|cdk4|cdk 4|cdk6|cdk 6",Cyclin-dependent kinase 4/6 inhibition,https://www.cancer.gov/types/breast/hp/breast-treatment-pdq
therapy,PI3K-AKT-mTOR inhibitor,"alpelisib|capivasertib|inavolisib|everolimus|taselisib|pi3k inhibitor|akt inhibitor|mtor inhibitor",PI3K-AKT-mTOR pathway inhibition,https://www.cancer.gov/types/breast/hp/breast-treatment-pdq
therapy,PARP inhibitor,"olaparib|talazoparib|niraparib|parp inhibitor",DNA-repair-targeted treatment,https://www.ema.europa.eu/en/medicines/human/EPAR/lynparza
therapy,Immunotherapy,"pembrolizumab|atezolizumab|durvalumab|nivolumab|checkpoint inhibitor|pd-1 inhibitor|pd-l1 inhibitor|immunotherapy",Immune-checkpoint treatment,https://www.cancer.gov/types/breast/hp/breast-treatment-pdq
